parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
A04,Soole muud bakternakkused,Other bacterial intestinal infections,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.7674296195637711,0.546658634847595,0.9882006042799472,0.11264032730070014,6.813098274431248,9.55188405978615e-12,1.7022342911951998,1.4606987125377342,1.983709273684987,0.5230105611472529,1.7022342911951998,sig,Random-Effects
A08,Soole viirus- ja muud täpsustatud nakkused,Viral and other specified intestinal infections,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.3002055111022276,0.09043415510896893,0.5099768670954863,0.10702816870509275,2.8049205618888893,0.005032898192615866,1.2313198016701774,1.0646905351802676,1.424027361836535,0.35933682665626754,1.2313198016701774,sig,Random-Effects
A09,"Oletatavalt nakkusliku päritoluga kõhulahtisus ja gastroenteriit; Peensoole- või soolekatarr; Teisiti täpsustamata, hemorraagiline või septiline+koliit; Teisiti täpsustamata, hemorraagiline või septiline+enteriit; Teisiti täpsustamata, hemorraagiline või septiline+gastroenteriit; Teisiti täpsustamata diarrhöa; Düsenteeriline diarrhöa; Epideemiline diarrhöa; Teisiti täpsustamata kõhulahtisusega nakkushaigus","Infectious gastroenteritis and colitis, unspecified",A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.17748191364693236,0.08427318649417015,0.27069064079969457,0.047556346896157675,3.7320342126882764,1.8993969619656898e-4,1.130908269340228,1.060153513415875,1.2063852050456811,0.1462316916298061,1.130908269340228,sig,Random-Effects
A31,Muud mükobakternakkused [mükobakterioosid],Infection due to other mycobacteria,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,1.24663684665509,-0.190538843826621,2.6838125371368,0.73326637724875,1.70011456318579,0.0891093784915721,2.372876222772576,0.8762783718989161,6.425516992274873,5.549238620375957,2.372876222772576,nosig,Pass-Through
A41,Muu septitseemia,Other sepsis,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.046796363727067934,-0.1798007656995946,0.08620803824545872,0.0678606357165991,-0.6895951273209378,0.4904488324838378,0.9680836621707622,0.8828249048387885,1.0615762784049378,0.17875137356614934,1.0329685739739383,nosig,Random-Effects
A46,Erüsiipel e roos,Erysipelas,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.26528609073751325,0.06520974482233874,0.46536243665268773,0.10208164409823407,2.5987638921863963,0.00935601008662018,1.2018743611742455,1.0462370348949748,1.3806641629666696,0.33442712807169483,1.2018743611742455,sig,Random-Effects
A49,Täpsustamata paikme bakternakkus,Bacterial infection of unspecified site,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.33817279281156926,0.21894904582486746,0.45739653979827105,0.060829560097595436,5.559349636410359,2.7078176457212343e-8,1.2641544982449735,1.1638854267061343,1.3730617797627058,0.20917635305657156,1.2641544982449735,sig,Random-Effects
A56,Muud suguliselt levivad klamüüdiahaigused,Other sexually transmitted chlamydial diseases,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.2651025191655988,-0.26111391785014926,0.7913189561813468,0.26848270742037933,0.987410033639567,0.32344166752579534,1.2017214418646514,0.8344433893713729,1.7306559584889198,0.896212569117547,1.2017214418646514,nosig,Random-Effects
A59,Trihhomoniaas,Trichomoniasis,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.918501520844883,0.5029708145563139,1.3340322271334522,0.21200935811383392,4.332363104234829,1.4751738743117714e-5,1.890151036770199,1.4171287279761535,2.5210630984142863,1.1039343704381328,1.890151036770199,sig,Random-Effects
A60,Anogenitaalsed herpesviirusnakkused [herpes simplex],Anogenital herpesviral [herpes simplex] infections,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.37422173455765734,0.059632007586739255,0.6888114615285754,0.1605079121108152,2.3314846578983186,0.01972781813121418,1.2961401599769944,1.0421998899821434,1.6119549910276547,0.5697551010455113,1.2961401599769944,sig,Random-Effects
A63,Peamiselt suguliselt levivad mujal klassifitseerimata muud haigused,"Other predominantly sexually transmitted diseases, not elsewhere classified",A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.38003049094741786,-0.08594790258337598,0.8460088844782117,0.23774844701554318,1.5984562495273535,0.10994147474153977,1.301369359220812,0.9421652959887046,1.7975213227755,0.8553560267867955,1.301369359220812,nosig,Random-Effects
A66,Framböösia e vaariktüügas,Yaws,A65-A69,Muud spirohetoosid e spiroheethaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.7951148095396918,0.518887587724705,1.0713420313546786,0.14093484573891762,5.641719089206974,1.6836062733458974e-8,1.735215457097473,1.432850000856401,2.1013872217959744,0.6685372209395735,1.735215457097473,sig,Random-Effects
A69,Muud spiroheetnakkused,Other spirochetal infections,A65-A69,Muud spirohetoosid e spiroheethaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.42759969798852226,0.28642479010258987,0.5687746058744547,0.07202933778350118,5.936465767237235,2.912316896793099e-9,1.3449939636740242,1.2196141469177693,1.4832631835989456,0.26364903668117634,1.3449939636740242,sig,Random-Effects
A74,Muud klamüüdiahaigused,Other diseases caused by chlamydiae,A70-A74,Muud klamüdioosid e klamüüdiahaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.7552888399704234,0.5249095034776065,0.9856681764632403,0.11754263767600823,6.425658424071475,1.312999386948878e-10,1.6879695044625622,1.4388433222659696,1.9802302334825772,0.5413869112166076,1.6879695044625622,sig,Random-Effects
B00,Herpesviirusnakkused [herpes simplex],Herpesviral [herpes simplex] infections,B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.5026613861448231,0.41113521276043363,0.59418755952921265,0.04669788532153465,10.764114535032741,5.0847991031449176e-27,1.4168248156055505,1.3297317279157899,1.5096222162511472,0.17989048833535737,1.4168248156055505,sig,Random-Effects
B02,Vöötohatis,Zoster [herpes zoster],B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.3393382364335741,0.2352709489220014,0.44340552394514676,0.05309653051405138,6.39096816963911,1.6483869646800793e-10,1.265176125130456,1.177127789865902,1.359810414281752,0.18268262441584993,1.265176125130456,sig,Random-Effects
B07,Viirustüükad [soolatüükad]; Harilik tüügas; Lihttüügas,Viral warts,B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.5915223659917381,0.5256931383788823,0.6573515936045939,0.03358695778703506,17.61166848579755,2.004483707397246e-69,1.5068359577844432,1.4396250773080044,1.5771846708296684,0.13755959352166403,1.5068359577844432,sig,Random-Effects
B08,Naha- ja limaskestakahjustusega mujal klassifitseerimata muud viirushaigused,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,1.13636799324462,0.308101562459463,1.96463442402978,0.422592678905541,2.68903852330728,0.00716581491175709,2.1982690837925407,1.2380774456144013,3.903137870636206,2.665060425021805,2.1982690837925407,sig,Pass-Through
B18,Krooniline viirushepatiit,Chronic viral hepatitis,B15-B19,Viirushepatiit,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.05165315377684951,-0.43547054468555313,0.5387768522392522,0.24853706614242527,0.20782877410828307,0.835362664633378,1.0364518919832324,0.7394525378734096,1.4527403306843816,0.713287792810972,1.0364518919832324,nosig,Random-Effects
B23,Muude haigusseisunditena avalduv HIV-tõbi,Human immunodeficiency virus [HIV] disease resulting in other conditions,B20-B24,Inimese immuunpuudulikkuse viirustõbi e HIV-tõbi,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.9802121288271224,-1.4149357050469538,-0.545488552607291,0.22180181862976853,-4.419315111492805,9.901418802666556e-6,0.5069052008493972,0.37502646032779996,0.6851593416197153,0.3101328812919153,1.9727554547168724,sig,Random-Effects
B27,Nakkuslik mononukleoos,Infectious mononucleosis,B25-B34,Muud viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.6531202454947562,0.13433016870732517,1.1719103222821872,0.26469367849592196,2.4674569079473447,0.013607659887257408,1.5725656487461575,1.0975830967763982,2.253098400366692,1.1555153035902936,1.5725656487461575,sig,Random-Effects
B33,Mujal klassifitseerimata muud viirushaigused,"Other viral diseases, not elsewhere classified",B25-B34,Muud viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.2992741768758353,0.12823248003036863,0.47031587372130196,0.08726777542578425,3.4293778593032793,6.049666535188277e-4,1.2305251776004122,1.0929538466392503,1.3854127668469731,0.2924589202077228,1.2305251776004122,sig,Random-Effects
B34,Täpsustamata paikme viirusnakkus,Viral infection of unspecified site,B25-B34,Muud viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.10763229948137465,0.07058419182210116,0.14468040714064814,0.01890244308135469,5.694094621427154,1.240282907014884e-8,1.0774584975755719,1.0501418324317617,1.1054857335885102,0.055343901156748476,1.0774584975755719,sig,Random-Effects
B35,Dermatofütoos e nahaseenhaigustu[mu]s,Dermatophytosis,B35-B49,Mükoosid e seenhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.365340396327291,0.29734793138754845,0.4333328612670335,0.0346906705817344,10.531373138680486,6.192449036535647e-26,1.2881855342757278,1.2288833116245206,1.3503495043183324,0.12146619269381187,1.2881855342757278,sig,Random-Effects
B36,Muud pindmised mükoosid,Other superficial mycoses,B35-B49,Mükoosid e seenhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.5811920968390762,0.391826557901397,0.7705576357767555,0.0966168462437935,6.015432291927154,1.794072796326513e-9,1.496084950880114,1.312053508854153,1.705929038065442,0.393875529211289,1.496084950880114,sig,Random-Effects
B37,Kandidiaas,Candidiasis,B35-B49,Mükoosid e seenhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.2704021311963354,0.24366158354093287,0.2971426788517379,0.013643387259321375,19.819281389347974,2.0298649723330925e-87,1.2061439767142337,1.1839938469815288,1.2287084905659325,0.04471464358440369,1.2061439767142337,sig,Random-Effects
