"parent2_code","parent2_name","parent2_name_EN","parent1_code","parent1_name","parent0_code","parent0_name","parent0_name_EN","short_name","gender","gender_EN","year","prevalence_diff","ci_low","ci_high","se","z","p_value","fold_diff_nat","fold_ci_low_nat","fold_ci_high_nat","ci_width_nat","fold_diff_reg","sig","meta_model_type"
"A04","Soole muud bakternakkused","Other bacterial intestinal infections","A00-A09","Soolenakkushaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.293097200168068,0.172523350024606,0.413671050311529,0.0615184008964106,4.7643826220647,1.89432748970833e-06,1.22526788034951,1.1270279934416,1.33207106420819,0.205043070766591,1.22526788034951,"sig","Random-Effects"
"A07","Soole muud algloomhaigused","Other protozoal intestinal diseases","A00-A09","Soolenakkushaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.291710548356708,-0.0313856102324835,0.6148067069459,0.164848007992868,1.76957278348992,0.0767983360867174,1.22409077525843,0.978480082740497,1.53135281187955,0.552872729139049,1.22409077525843,"nosig","Random-Effects"
"A08","Soole viirus- ja muud täpsustatud nakkused","Viral and other specified intestinal infections","A00-A09","Soolenakkushaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.136042630156041,0.0134019746269848,0.258683285685097,0.0625729128169855,2.17414571308101,0.0296941938228306,1.09888668806963,1.00933282263052,1.19638629215439,0.187053469523871,1.09888668806963,"sig","Random-Effects"
"A09","Oletatavalt nakkusliku päritoluga kõhulahtisus ja gastroenteriit; Peensoole- või soolekatarr; Teisiti täpsustamata, hemorraagiline või septiline+koliit; Teisiti täpsustamata, hemorraagiline või septiline+enteriit; Teisiti täpsustamata, hemorraagiline või septiline+gastroenteriit; Teisiti täpsustamata diarrhöa; Düsenteeriline diarrhöa; Epideemiline diarrhöa; Teisiti täpsustamata kõhulahtisusega nakkushaigus","Infectious gastroenteritis and colitis, unspecified","A00-A09","Soolenakkushaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.26834510386515,0.13326535996596,0.403424847764339,0.0689195030953023,3.8936018371183,9.87667117476344e-05,1.20442545470385,1.09677330340209,1.32264404270127,0.225870739299173,1.20442545470385,"sig","Random-Effects"
"A31","Muud mükobakternakkused [mükobakterioosid]","Infection due to other mycobacteria","A30-A49","Muud bakterhaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.130250410716233,-0.304419604967178,0.564920426399645,0.221774491323327,0.587310154287945,0.556995422622757,1.09448365592502,0.809767919998601,1.47930591408101,0.669537994082405,1.09448365592502,"nosig","Random-Effects"
"A41","Muu septitseemia","Other sepsis","A30-A49","Muud bakterhaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",-0.770611432267225,-1.07423450429116,-0.46698836024329,0.154912577179415,-4.9744923640043,6.54188427814916e-07,0.586168996187266,0.474922988336606,0.723473279940836,0.24855029160423,1.70599265144437,"sig","Random-Effects"
"A46","Erüsiipel e roos","Erysipelas","A30-A49","Muud bakterhaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",-0.269802155281239,-0.39400234590171,-0.145601964660768,0.0633686086071715,-4.25766260631933,2.06575398220132e-05,0.829433282770988,0.761015452965572,0.904002103882878,0.142986650917306,1.20564247995834,"sig","Random-Effects"
"A49","Täpsustamata paikme bakternakkus","Bacterial infection of unspecified site","A30-A49","Muud bakterhaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.100942370041072,-0.142727970810112,0.344612710892256,0.124323886955691,0.811930615369576,0.416831445954588,1.07247377487815,0.90580476208025,1.26981005836166,0.364005296281411,1.07247377487815,"nosig","Random-Effects"
"A54","Gonokokknakkus","Gonococcal infection","A50-A64","Peamiselt suguliselt levivad nakkushaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.282114516523998,-0.118112938485271,0.682341971533266,0.204201433376435,1.3815501285142,0.167109875891491,1.21597579962729,0.921392054047993,1.60474267037928,0.683350616331289,1.21597579962729,"nosig","Random-Effects"
"A56","Muud suguliselt levivad klamüüdiahaigused","Other sexually transmitted chlamydial diseases","A50-A64","Peamiselt suguliselt levivad nakkushaigused","A00-B99","Teatavad nakkus- ja parasiithaigused","Certain infectious and parasitic diseases","Infectious diseases","N","F","MetaAgeCombined",0.374714799821505,0.155829232719162,0.593600366923848,0.1116783618622,3.35530351245541,0.000792779521664214,1.29658321335469,1.11406177502131,1.50900790857942,0.39494613355811,1.29658321335469,"sig","Random-Effects"
