parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
A02,Muud salmonellanakkused e salmonelloosid,Other salmonella infections,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.583211406826877,-0.348276785770429,1.51469959942418,0.475257810829569,1.22714744195129,0.219767179358417,1.4981804557800795,0.785521797279553,2.8573932459351084,2.071871448655555,1.4981804557800795,nosig,Pass-Through
A04,Soole muud bakternakkused,Other bacterial intestinal infections,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.23179778406040666,0.12011584155987125,0.34347972656094206,0.056981629959258616,4.0679388116159565,4.743083154561307e-5,1.1742973638082175,1.0868221256775596,1.2688132363768654,0.18199111069930574,1.1742973638082175,sig,Random-Effects
A07,Soole muud algloomhaigused,Other protozoal intestinal diseases,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.10983695826143579,-0.18568596933109655,0.40535988585396815,0.15077977448748017,0.7284594942178798,0.4663323554827915,1.0791062777393183,0.8792309218155037,1.3244192506923198,0.44518832887681614,1.0791062777393183,nosig,Random-Effects
A08,Soole viirus- ja muud täpsustatud nakkused,Viral and other specified intestinal infections,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.2017987303936308,0.07089905955225914,0.3326984012350025,0.06678677357027557,3.0215373434874877,0.002514946166811514,1.1501314279429875,1.0503710505625052,1.2593666788834055,0.20899562832090024,1.1501314279429875,sig,Random-Effects
A09,"Oletatavalt nakkusliku päritoluga kõhulahtisus ja gastroenteriit; Peensoole- või soolekatarr; Teisiti täpsustamata, hemorraagiline või septiline+koliit; Teisiti täpsustamata, hemorraagiline või septiline+enteriit; Teisiti täpsustamata, hemorraagiline või septiline+gastroenteriit; Teisiti täpsustamata diarrhöa; Düsenteeriline diarrhöa; Epideemiline diarrhöa; Teisiti täpsustamata kõhulahtisusega nakkushaigus","Infectious gastroenteritis and colitis, unspecified",A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.23450712121651962,0.12381193498546775,0.3452023074475715,0.056478173631863346,4.152172532084457,3.293338167798668e-5,1.1765047303715068,1.089610064945083,1.270329106822535,0.18071904187745202,1.1765047303715068,sig,Random-Effects
A15,Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos,"Tuberculosis of lung, confirmed bacteriologically and histologically",A15-A19,Tuberkuloos,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.272056818243029,-1.08888479610919,0.544771159623134,0.41675662629987,-0.652795423214879,0.513888174594122,0.828138045796274,0.47012464073717547,1.4587889326964212,0.9886642919592457,1.2075281471200574,nosig,Pass-Through
A31,Muud mükobakternakkused [mükobakterioosid],Infection due to other mycobacteria,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.15841885821378796,-0.23153977361228636,0.5483774900398622,0.19896214160158981,0.7962261410063255,0.42590060606507774,1.1160633023858408,0.8517253687462943,1.462440054786507,0.6107146860402127,1.1160633023858408,nosig,Random-Effects
A37,Läkaköha,Whooping cough [pertussis],A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.6995468671791117,-0.05687194993685407,1.4559656842950774,0.3859350595635946,1.8126025346599537,0.0698931466018046,1.6239946357992376,0.9613462513307652,2.743401322316361,1.7820550709855958,1.6239946357992376,nosig,Random-Effects
A41,Muu septitseemia,Other sepsis,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.6149669938280881,-0.779159801706451,-0.45077418594972507,0.08377338010978515,-7.340840169301666,2.1225716513019125e-13,0.6529448315335861,0.5827060514144125,0.7316501210028076,0.14894406958839512,1.5315229583045749,sig,Random-Effects
A46,Erüsiipel e roos,Erysipelas,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.09803397330657299,-0.19057163726759868,-0.005496309345547276,0.0472139614252869,-2.076376782357175,0.03785911687723061,0.9343053451331514,0.8762584537210196,0.9961974965690851,0.11993904284806545,1.0703139024185784,sig,Random-Effects
A48,Mujal klassifitseerimata muud bakterhaigused,"Other bacterial diseases, not elsewhere classified",A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.27617069074370537,-0.205288749145706,0.7576301306331168,0.24564708519498427,1.1242579594400348,0.26090360765848,1.2109763506983124,0.8673650704271147,1.6907110649826773,0.8233459945555626,1.2109763506983124,nosig,Random-Effects
A49,Täpsustamata paikme bakternakkus,Bacterial infection of unspecified site,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.17598650607685828,0.013319395770686054,0.3386536163830305,0.08299494867725615,2.1204483993504226,0.03396824875425682,1.1297366477834105,1.009275050778277,1.26457588777282,0.25530083699454287,1.1297366477834105,sig,Random-Effects
A53,Muu ja täpsustamata süüfilis,Other and unspecified syphilis,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.243989600963401,-0.917768534355976,0.429789332429173,0.343771078809232,-0.709744408425928,0.477862648152913,0.8444069739404265,0.5293271157398924,1.3470368632873932,0.8177097475475008,1.1842630755801298,nosig,Pass-Through
A54,Gonokokknakkus,Gonococcal infection,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.37045764313285345,0.01587515025055447,0.7250401360151524,0.18091275945843932,2.047714291915147,0.04058800262599244,1.292762848137578,1.0110645802929203,1.652946620917727,0.6418820406248067,1.292762848137578,sig,Random-Effects
A56,Muud suguliselt levivad klamüüdiahaigused,Other sexually transmitted chlamydial diseases,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.3517769966508635,0.14386680339010383,0.5596871899116231,0.1060785784334451,3.3161925984101712,9.125291669581149e-4,1.2761314966506776,1.1048624738236503,1.4739495958334345,0.3690871220097842,1.2761314966506776,sig,Random-Effects
A59,Trihhomoniaas,Trichomoniasis,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.3100338540728521,-0.4995415655444913,-0.12052614260121292,0.09668938458382496,-3.206493198889563,0.0013436348105787582,0.80662283090553355,0.7073315089438187,0.9198521246559306,0.2125206157121119,1.2397367910816222,sig,Random-Effects
A60,Anogenitaalsed herpesviirusnakkused [herpes simplex],Anogenital herpesviral [herpes simplex] infections,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.7210292315866721,0.5119719677783552,0.930086495394989,0.10666382926285073,6.7598288620395035,1.3815483127306818e-11,1.6483575682461247,1.4259980093042344,1.9053902285038833,0.4793922191996489,1.6483575682461247,sig,Random-Effects
