"parent2_code","parent2_name","parent1_code","parent1_name","parent0_code","parent0_name","parent0_name_EN","short_name","year","gender","age_group","prevalence_data1","denominator_data1","patient_count_data1","gender_EN","parent2_name_EN","prevalence_data2","denominator_data2","patient_count_data2","prevalence_diff","se","ci_low","ci_high","z","p_value","sig","lab","fold_diff_nat","fold_diff_reg","meta_model_type"
"I10","Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.0249590038633647,35979,898,"M","Essential (primary) hypertension",0.0358987603305785,3872,139,0.524373669150951,0.12921403638317,0.271118811542889,0.777628526759013,4.0581788467313,4.94568869593426e-05,"sig","20-29",NA,NA,NA
"I11","Südamekahjustusega hüpertooniatõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.0066983518163373,35979,241,"M","Hypertensive heart disease",0.00955578512396694,3872,37,0.51256826056758,0.253563026334219,0.0155938611415298,1.00954265999363,2.02146293952167,0.0432318650324617,"sig","20-29",NA,NA,NA
"F43","Rasked stressreaktsioonid ja kohanemishäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00525306428750104,35979,189,"M","Reaction to severe stress, and adjustment disorders",0.00464876033057851,3872,18,-0.17631319161017,0.355033450754312,-0.872165968395596,0.519539585175256,-0.496610083459942,0.619464041052065,"nosig","20-29",NA,NA,NA
"I20","Stenokardia e rinnaangiin e rinnaahistus","I20-I25","Südame isheemiatõved","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.0007226437644181,35979,26,"M","Angina pectoris",0.00180785123966942,3872,7,1.32291943508517,0.613836855997716,0.119821304946345,2.52601756522399,2.15516455579215,0.0311489594623862,"sig","20-29",NA,NA,NA
"F40","Foobsed ärevushäired e. foobiad","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00227910725701103,35979,82,"M","Phobic anxiety disorders",0.00335743801652892,3872,13,0.558891944691599,0.429991234314913,-0.283875388233553,1.40165927761675,1.299775204911,0.193678026065133,"nosig","20-29",NA,NA,NA
"F20","Skisofreenia","F20-F29","Skisofreenia, skisotüüpsed ja luululised häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00308513299424664,35979,111,"M","Schizophrenia",0.00180785123966942,3872,7,-0.771056713123911,0.561688618868593,-1.8719461766324,0.329832750384577,-1.37274761713536,0.169830820486474,"nosig","20-29",NA,NA,NA
"F45","Somatoformsed häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.0105617165568804,35979,380,"M","Somatoform disorders",0.0111053719008264,3872,43,0.0724133775397402,0.230837222714536,-0.380019265272002,0.524846020351482,0.313698877019023,0.753749753760283,"nosig","20-29",NA,NA,NA
"I84","Hemorroidid e päraku veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.00814363934517357,35979,293,"M","Hemorrhoids",0.0113636363636364,3872,44,0.48067899538364,0.231974342728563,0.0260176382983052,0.935340352468975,2.07212138088086,0.0382541228569924,"sig","20-29",NA,NA,NA
"I49","Muud südamerütmitused e arütmiad","I30-I52","Muud südamehaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.00505850635092693,35979,182,"M","Other cardiac arrhythmias",0.00800619834710743,3872,31,0.662405901356768,0.279251920281651,0.115082194991082,1.20972960772245,2.37207286055069,0.0176886021946658,"sig","20-29",NA,NA,NA
"F70","Kerge vaimne alaareng","F70-F79","Vaimne alaareng","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00397454070429973,35979,143,"M","Mild intellectual disabilities",0.003099173553719,3872,12,-0.358904604888646,0.432905358861049,-1.20738351697069,0.489574307193397,-0.8290602034424,0.407070341468952,"nosig","20-29",NA,NA,NA
"F33","Korduv depressiivne häire e korduv depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.0040579226771172,35979,146,"M","Major depressive disorder, recurrent",0.00697314049586776,3872,27,0.781067174452043,0.301244582971301,0.190638641290505,1.37149570761358,2.59280072938757,0.00951979114677126,"sig","20-29",NA,NA,NA
"F48","Muud neurootilised häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.0025014591845243,35979,90,"M","Other nonpsychotic mental disorders",0.00232438016528925,3872,9,-0.105923863718772,0.503779861576979,-1.09331424854623,0.881466521108681,-0.210258233402183,0.833466131526665,"nosig","20-29",NA,NA,NA
"F06","Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest","F00-F09","Orgaanilised - k.a sümptomaatilised - psüühikahäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00122293560132299,35979,44,"M","Other mental disorders due to known physiological condition",0.0015495867768595,3872,6,0.34153511325245,0.627378097683219,-0.888103362895911,1.57117358940081,0.544384820754296,0.586176689057801,"nosig","20-29",NA,NA,NA
"F10","Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired","F10-F19","Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.0117290641763251,35979,422,"M","Alcohol related disorders",0.00929752066115702,3872,36,-0.335169956096282,0.249304163260407,-0.823797137282573,0.153457225090008,-1.34442181675958,0.178812022849704,"nosig","20-29",NA,NA,NA
"F51","Mitteorgaanilised unehäired","F50-F59","Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00408571666805636,35979,147,"M","Sleep disorders not due to a substance or known physiological condition",0.00671487603305785,3872,26,0.71677160447332,0.305967698594336,0.117085934795815,1.31645727415083,2.34263815352497,0.0191479434552324,"sig","20-29",NA,NA,NA
"I83","Alajäsemete vaariksid e veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","20-29",0.00172322743822785,35979,62,"M","Varicose veins of lower extremities",0.00258264462809917,3872,10,0.58373601566908,0.491031539051971,-0.378668116146057,1.54614014748422,1.1887953608766,0.234520204023087,"nosig","20-29",NA,NA,NA
"F41","Muud ärevushäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.0140915534061536,35979,507,"M","Other anxiety disorders",0.0178202479338843,3872,69,0.338686750943418,0.183506509177772,-0.0209793979736834,0.69835289986052,1.84563889564983,0.0649446549378281,"nosig","20-29",NA,NA,NA
"F32","Depressiivne episood e. depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.0150921370799633,35979,543,"M","Major depressive disorder, single episode",0.0201446280991735,3872,78,0.416598062226477,0.172979526415305,0.0775644203896846,0.75563170406327,2.40836630125967,0.0160240943399865,"sig","20-29",NA,NA,NA
"F52","Mitteorgaanilised seksuaaldüsfunktsioonid","F50-F59","Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","20-29",0.00316851496706412,35979,114,"M","Sexual dysfunction not due to a substance or known physiological condition",0.00413223140495867,3872,16,0.383114217003847,0.384379748114886,-0.370256245687907,1.1364846796956,0.996707602007531,0.318906458648175,"nosig","20-29",NA,NA,NA
"F33","Korduv depressiivne häire e korduv depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00880260460629446,33172,292,"F","Major depressive disorder, recurrent",0.0182382615444315,5154,94,1.05096584793438,0.169716289001848,0.718328033900965,1.38360366196779,6.19248661466392,5.92223825535143e-10,"sig","20-29",NA,NA,NA
"I83","Alajäsemete vaariksid e veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","20-29",0.00542626311346919,33172,180,"F","Varicose veins of lower extremities",0.00601474582848273,5154,31,0.148544769193958,0.279709698553266,-0.399676166096999,0.696765704484914,0.531067638920892,0.595371908416596,"nosig","20-29",NA,NA,NA
"F10","Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired","F10-F19","Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00274327746292053,33172,91,"F","Alcohol related disorders",0.00213426464881645,5154,11,-0.362161466424641,0.460022790850716,-1.26378956855965,0.539466635710365,-0.787268530228467,0.43112468768195,"nosig","20-29",NA,NA,NA
"F70","Kerge vaimne alaareng","F70-F79","Vaimne alaareng","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00304473652477993,33172,101,"F","Mild intellectual disabilities",0.00174621653084982,5154,9,-0.802084926172727,0.501402286964351,-1.78481535038887,0.180645498043418,-1.59968342192614,0.109668831396008,"nosig","20-29",NA,NA,NA
"I49","Muud südamerütmitused e arütmiad","I30-I52","Muud südamehaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","20-29",0.00663209936090678,33172,220,"F","Other cardiac arrhythmias",0.0100892510671323,5154,52,0.605281559753191,0.221405768310818,0.171334227894568,1.03922889161182,2.73381115754614,0.00626059390236589,"sig","20-29",NA,NA,NA
"F51","Mitteorgaanilised unehäired","F50-F59","Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00437115639696129,33172,145,"F","Sleep disorders not due to a substance or known physiological condition",0.00814901047729918,5154,42,0.898609887900583,0.251881108327327,0.404931987192991,1.39228778860817,3.56759541780646,0.000360272204459111,"sig","20-29",NA,NA,NA
"F48","Muud neurootilised häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00370794646087061,33172,123,"F","Other nonpsychotic mental disorders",0.00543267365153279,5154,28,0.551041971855123,0.301313333732637,-0.039521310322543,1.14160525403279,1.82880048827868,0.0674295018202598,"nosig","20-29",NA,NA,NA
"F07","Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist","F00-F09","Orgaanilised - k.a sümptomaatilised - psüühikahäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.0008139394670204,33172,27,"F","Personality and behavioral disorders due to known physiological condition",0.00116414435389988,5154,6,0.516276553694403,0.65078106133543,-0.759230888343791,1.7917839957326,0.79331834370684,0.427592371994077,"nosig","20-29",NA,NA,NA
"F45","Somatoformsed häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.0171228747136139,33172,568,"F","Somatoform disorders",0.019790454016298,5154,102,0.208879777603571,0.153633915012244,-0.0922371626243138,0.509996717831456,1.35959418587312,0.173958379045357,"nosig","20-29",NA,NA,NA
"F43","Rasked stressreaktsioonid ja kohanemishäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00819968648257566,33172,272,"F","Reaction to severe stress, and adjustment disorders",0.0116414435389988,5154,60,0.505629309494937,0.204633805727979,0.104554420248733,0.906704198741142,2.47089823549035,0.013477416512778,"sig","20-29",NA,NA,NA
"I11","Südamekahjustusega hüpertooniatõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","20-29",0.00174846255878451,33172,58,"F","Hypertensive heart disease",0.00116414435389988,5154,6,-0.586816939269657,0.618315390267726,-1.79869283528123,0.625058956741913,-0.949057630630171,0.342591301894617,"nosig","20-29",NA,NA,NA
"I10","Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","20-29",0.00735560110936934,33172,244,"F","Essential (primary) hypertension",0.00911913077221575,5154,47,0.310053069251509,0.228796998962453,-0.138380808485746,0.758486946988765,1.35514482557698,0.175371419433987,"nosig","20-29",NA,NA,NA
"F41","Muud ärevushäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.0221270951404799,33172,734,"F","Other anxiety disorders",0.0259992239037641,5154,134,0.232654492751317,0.133797146780357,-0.029583096172401,0.494892081675035,1.73885989611756,0.0820594098972744,"nosig","20-29",NA,NA,NA
"F32","Depressiivne episood e. depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.0254732907271192,33172,845,"F","Major depressive disorder, single episode",0.039580908032596,5154,204,0.635819365938707,0.110450745891566,0.419339881925653,0.852298849951761,5.75658734403585,8.58313820017997e-09,"sig","20-29",NA,NA,NA
"F06","Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest","F00-F09","Orgaanilised - k.a sümptomaatilised - psüühikahäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00111539852887977,33172,37,"F","Other mental disorders due to known physiological condition",0.00194024058983313,5154,10,0.798676284395174,0.51373488629004,-0.208225590335084,1.80557815912543,1.55464677542701,0.120030217129963,"nosig","20-29",NA,NA,NA
"I80","Flebiit e veenipõletik ja tromboflebiit e trombveenipõletik","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","20-29",0.00177860846497045,33172,59,"F","Phlebitis and thrombophlebitis",0.00213426464881645,5154,11,0.262990124412217,0.473314083726284,-0.664688433066876,1.19066868189131,0.555635535587196,0.578460033609984,"nosig","20-29",NA,NA,NA
"F40","Foobsed ärevushäired e. foobiad","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00229108887013143,33172,76,"F","Phobic anxiety disorders",0.00407450523864959,5154,21,0.830591464471935,0.355010791621802,0.134783098770149,1.52639983017372,2.33962314406706,0.0193032067316115,"sig","20-29",NA,NA,NA
"F20","Skisofreenia","F20-F29","Skisofreenia, skisotüüpsed ja luululised häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","N","20-29",0.00171831665259857,33172,57,"F","Schizophrenia",0.00155219247186651,5154,8,-0.146688459027979,0.544260771592557,-1.21341996954737,0.920043051491412,-0.269518706260522,0.787530549110315,"nosig","20-29",NA,NA,NA
"I84","Hemorroidid e päraku veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","N","20-29",0.012058362474376,33172,400,"F","Hemorrhoids",0.0194024058983314,5154,100,0.686201555136758,0.159845337281366,0.372910450968623,0.999492659304894,4.29290942612157,1.76346957330153e-05,"sig","20-29",NA,NA,NA
"F52","Mitteorgaanilised seksuaaldüsfunktsioonid","F50-F59","Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","30-39",0.00502026816339257,32070,161,"M","Sexual dysfunction not due to a substance or known physiological condition",0.0058689272905119,3067,18,0.225332405389687,0.357513403077182,-0.475380988631941,0.926045799411316,0.630276804870001,0.528513496021495,"nosig","30-39",NA,NA,NA
"I10","Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","30-39",0.0490177736202058,32070,1572,"M","Essential (primary) hypertension",0.0837952396478644,3067,257,0.773563328997261,0.0931622441531638,0.590968685738133,0.956157972256389,8.30339947291825,0,"sig","30-39",NA,NA,NA
"F43","Rasked stressreaktsioonid ja kohanemishäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","30-39",0.004614904895541,32070,148,"M","Reaction to severe stress, and adjustment disorders",0.00815128790348875,3067,25,0.820727106207765,0.310764426606233,0.211640022383307,1.42981419003222,2.6409943865541,0.00826630889718838,"sig","30-39",NA,NA,NA
