parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
F01,Vaskulaarne dementsus,Vascular dementia,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.4156353287190229,-0.8678895370332761,0.03661887959523025,0.23074618303273775,-1.801266323265913,0.07166091314599103,0.7496892765406419,0.5479478363911726,1.0257071458875193,0.4777593094963467,1.3338859595463193,nosig,Random-Effects
F06,"Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest",Other mental disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.3562222943343951,0.23352433955403598,0.4789202491147543,0.06260214766607192,5.690256766182075,1.2684848331543969e-8,1.2800696352239598,1.1757035537496074,1.3937001940638631,0.2179966403142557,1.2800696352239598,sig,Random-Effects
F07,"Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist",Personality and behavioral disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.23381173850679335,0.007808366170596187,0.45981511084299054,0.11530996187628088,2.0276803036120694,0.04259288715745391,1.1759377887187783,1.005427020206155,1.3753655463260492,0.3699385261198942,1.1759377887187783,sig,Random-Effects
F10,Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired,Alcohol related disorders,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.2918786991682959,-0.5302298237528904,-0.05352757458370144,0.12160995123618484,-2.4001218337915744,0.016389615825845544,0.8168376673862351,0.6924444177054669,0.9635773757436671,0.27113295803820014,1.2242334553447547,sig,Random-Effects
F20,Skisofreenia,Schizophrenia,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.10120652839153958,-0.11525035687740405,0.31766341366048323,0.11043921570821096,0.91640028175259,0.3594569876114978,1.0726701634656992,0.9232220862549333,1.2463103913133677,0.32308830505843444,1.0726701634656992,nosig,Random-Effects
F32,Depressiivne episood e. depressioon,"Major depressive disorder, single episode",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4483579162510863,0.3787333976264414,0.5179824348757311,0.035523366334195006,12.621492907880587,1.6074473871452562e-36,1.3644863064446404,1.300199854326153,1.4319513067780283,0.13175145245187525,1.3644863064446404,sig,Random-Effects
F33,Korduv depressiivne häire e korduv depressioon,"Major depressive disorder, recurrent",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.7735772007290641,0.6625219841543732,0.884632417303755,0.05666186595808916,13.652518985189309,1.950188927324772e-42,1.7095032917028357,1.5828471916424671,1.8462941462532165,0.2634469546107494,1.7095032917028357,sig,Random-Effects
F40,Foobsed ärevushäired e. foobiad,Phobic anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4368251571827771,0.22436344426814425,0.6492868700974099,0.10840082501030825,4.0297217031442125,5.584292607360841e-5,1.3536222211900697,1.16826166645601,1.5683927413777996,0.4001310749217897,1.3536222211900697,sig,Random-Effects
F41,Muud ärevushäired,Other anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.3430802577727582,0.30367031634523267,0.3824901992002837,0.020107482452935935,17.062317899606786,2.830958281995317e-65,1.268461962471511,1.2342805177486502,1.303590008187048,0.06930949043839774,1.268461962471511,sig,Random-Effects
F43,Rasked stressreaktsioonid ja kohanemishäired,"Reaction to severe stress, and adjustment disorders",F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.470989956975093,0.36649900893459053,0.5754809050155955,0.053312687817079187,8.834481551391736,1.0056355581065472e-18,1.3860602368434676,1.289220477508445,1.4901741119342289,0.20095363442578384,1.3860602368434676,sig,Random-Effects
