"parent2_code","parent2_name","parent1_code","parent1_name","parent0_code","parent0_name","parent0_name_EN","short_name","year","gender","age_group","prevalence_data1","denominator_data1","patient_count_data1","gender_EN","parent2_name_EN","prevalence_data2","denominator_data2","patient_count_data2","prevalence_diff","se","ci_low","ci_high","z","p_value","sig","lab","fold_diff_nat","fold_diff_reg","meta_model_type"
"F70","Kerge vaimne alaareng","F70-F79","Vaimne alaareng","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00756609334447719,22733,172,"M","Mild intellectual disabilities",0.00237918215613382,6725,16,-1.66908284299703,0.376544139977709,-2.40709579594295,-0.931069890051111,-4.43263528970558,9.30882544092348e-06,"sig","10-19",NA,NA,NA
"F33","Korduv depressiivne häire e korduv depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.0007918004662825,22733,18,"M","Major depressive disorder, recurrent",0.0008921933085502,6725,6,0.172219410983935,0.679798047816009,-1.16016027949608,1.50459910146395,0.253339078476652,0.800006200540594,"nosig","10-19",NA,NA,NA
"I84","Hemorroidid e päraku veenikomud","I80-I89","Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","10-19",0.0014076452733911,22733,32,"M","Hemorrhoids",0.00133828996282527,6725,9,-0.0728930868526183,0.543971457301903,-1.13905755178212,0.993271378076879,-0.134001675775725,0.893401249310202,"nosig","10-19",NA,NA,NA
"F40","Foobsed ärevushäired e. foobiad","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.000835789381076,22733,19,"M","Phobic anxiety disorders",0.00104089219330855,6725,7,0.316609320319038,0.637560277378802,-0.932985861316781,1.56620450195486,0.496595116654243,0.619474597494931,"nosig","10-19",NA,NA,NA
"F41","Muud ärevushäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00285927946157568,22733,65,"M","Other anxiety disorders",0.00505576208178438,6725,34,0.822276939926958,0.304691223327312,0.225093115799976,1.41946076405394,2.69872210609635,0.00696062729714741,"sig","10-19",NA,NA,NA
"F32","Depressiivne episood e. depressioon","F30-F39","Meeleoluhäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00567457000835789,22733,129,"M","Major depressive disorder, single episode",0.00654275092936802,6725,44,0.205386274919115,0.251072557903097,-0.286706896077303,0.697479445915534,0.818035537752338,0.41333689525542,"nosig","10-19",NA,NA,NA
"I10","Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","10-19",0.00527866977521664,22733,120,"M","Essential (primary) hypertension",0.0102602230483271,6725,69,0.958815772874724,0.217044822421627,0.533415737897444,1.38421580785201,4.4175933900517,9.98059511259086e-06,"sig","10-19",NA,NA,NA
"I11","Südamekahjustusega hüpertooniatõbi","I10-I15","Kõrgvererõhkhaigused","I00-I99","Vereringeelundite haigused","Diseases of the circulatory system","Circulatory system","2012","M","10-19",0.0006598337219021,22733,15,"M","Hypertensive heart disease",0.0008921933085502,6725,6,0.435253816817692,0.696600106105093,-0.930057302775071,1.80056493641045,0.624825941028535,0.532085303032207,"nosig","10-19",NA,NA,NA
"F43","Rasked stressreaktsioonid ja kohanemishäired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00826991598117274,22733,188,"M","Reaction to severe stress, and adjustment disorders",0.00505576208178438,6725,34,-0.709944098722226,0.268117123525424,-1.23544400447053,-0.184444192973918,-2.64788794310225,0.00809963679915482,"sig","10-19",NA,NA,NA
"F45","Somatoformsed häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.0109092508687811,22733,248,"M","Somatoform disorders",0.0139776951672862,6725,94,0.357574452995836,0.173590857052079,0.0173426251283194,0.697806280863353,2.05986916055469,0.0394110506442518,"sig","10-19",NA,NA,NA
"F07","Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist","F00-F09","Orgaanilised - k.a sümptomaatilised - psüühikahäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00123168961421721,22733,28,"M","Personality and behavioral disorders due to known physiological condition",0.00133828996282527,6725,9,0.11975199108978,0.552446171284784,-0.963022608025441,1.202526590205,0.216766804286619,0.828390083197961,"nosig","10-19",NA,NA,NA
"F48","Muud neurootilised häired","F40-F49","Neurootilised, stressiga seotud ja somatoformsed häired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00114371178463027,22733,26,"M","Other nonpsychotic mental disorders",0.0008921933085502,6725,6,-0.358295305714836,0.653105220369728,-1.6383580157546,0.921767404324926,-0.548602728228082,0.58327811314897,"nosig","10-19",NA,NA,NA
"F10","Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired","F10-F19","Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00224343465446707,22733,51,"M","Alcohol related disorders",0.00312267657992565,6725,21,0.477073992512341,0.373527657209765,-0.255026762848421,1.2091747478731,1.27721196356935,0.201527424418695,"nosig","10-19",NA,NA,NA
"F51","Mitteorgaanilised unehäired","F50-F59","Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid","F00-F99","Psüühika- ja käitumishäired","Mental and behavioural disorders","Mental health disorders","2012","M","10-19",0.00114371178463027,22733,26,"M","Sleep disorders not due to a substance or known physiological condition",0.00133828996282527,6725,9,0.226667195006288,0.557597362635738,-0.866203553634278,1.31953794364685,0.406506935281836,0.68437016224076,"nosig","10-19",NA,NA,NA
