parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
F01,Vaskulaarne dementsus,Vascular dementia,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-1.23016089704209,-1.6164305661156735,-0.8438912279685067,0.19707998316317515,-6.241937295192282,4.321842183541901e-10,0.426269903340827,0.3261413869051488,0.5571388293232568,0.23099744241810793,2.345931514663946,sig,Random-Effects
F06,"Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest",Other mental disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.1610974413626202,-0.31744579960962416,-0.004749083115616198,0.07977103634569815,-2.019497912305959,0.043435494079556276,0.8943444946371013,0.8024893773761671,0.9967135985063156,0.19422422113014848,1.1181373687616545,sig,Random-Effects
F07,"Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist",Personality and behavioral disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.5892076383718684,-0.7055191463140111,-0.47289613042972567,0.059343696547279993,-9.928731653958193,3.1220132900402064e-23,0.6647078798210994,0.6132217842469495,0.7205167475236492,0.10729496327669974,1.5044202579171195,sig,Random-Effects
F10,Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired,Alcohol related disorders,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.6785969245806607,-0.8847748093172698,-0.47241903984405154,0.10519473131287821,-6.450864184084713,1.1121413504327133e-10,0.6247725940283191,0.5415720503024938,0.7207550574865357,0.1791830071840419,1.6005823711829987,sig,Random-Effects
F20,Skisofreenia,Schizophrenia,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.8273837066854149,-0.9514234251224443,-0.7033439882483856,0.06328673353971745,-13.07357261796686,4.662335011006238e-39,0.5635503013662299,0.5171219952840409,0.6141470389313561,0.09702504364731523,1.7744644933658515,sig,Random-Effects
F32,Depressiivne episood e. depressioon,"Major depressive disorder, single episode",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4322997318770226,0.2773401802104968,0.5872592835435484,0.07906244853927268,5.4678262546129774,4.555881232785347e-8,1.349382850714174,1.211958400415915,1.502389914684072,0.29043151426815705,1.349382850714174,sig,Random-Effects
F33,Korduv depressiivne häire e korduv depressioon,"Major depressive disorder, recurrent",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.5684215931378231,0.38603293617355067,0.7508102501020957,0.09305714717358635,6.108306673935582,1.006937320393855e-9,1.4829002886524272,1.3067950871824463,1.6827376286106612,0.3759425414282149,1.4829002886524272,sig,Random-Effects
F40,Foobsed ärevushäired e. foobiad,Phobic anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4714936843288644,0.2982908640524179,0.6446965046053109,0.08837040968234534,5.335424900978585,9.532107564896215e-8,1.3865442742455705,1.229686761377404,1.5634103617491397,0.33372360037173565,1.3865442742455705,sig,Random-Effects
F41,Muud ärevushäired,Other anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.4261473931815331,0.25925512789151783,0.5930396584715484,0.08515067960760517,5.004627034632288,5.597029156230689e-7,1.343640691986577,1.196860598756234,1.5084215413543491,0.3115609425981152,1.343640691986577,sig,Random-Effects
F43,Rasked stressreaktsioonid ja kohanemishäired,"Reaction to severe stress, and adjustment disorders",F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.43963404018739577,0.2851860787346223,0.5940820016401692,0.07880142832778525,5.579011060036605,2.4188986224809864e-8,1.3562602493928164,1.2185674243054705,1.509511765531944,0.2909443412264736,1.3562602493928164,sig,Random-Effects
F45,Somatoformsed häired,Somatoform disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.03457907192796878,-0.038299456888168985,0.10745760074410654,0.037183606122864664,0.9299547712965278,0.35239450264598543,1.0242579367067914,0.9738021177003551,1.0773280339380709,0.10352591623771579,1.0242579367067914,nosig,Random-Effects
F48,Muud neurootilised häired,Other nonpsychotic mental disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.2893536463537711,-0.473822819001928,-0.10488447370561416,0.09411865427284699,-3.074349591898584,0.0021096206631363037,0.8182685756690288,0.7200540854763509,0.9298794013292381,0.20982531585288722,1.222092635272453,sig,Random-Effects
F51,Mitteorgaanilised unehäired,Sleep disorders not due to a substance or known physiological condition,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.3424422903791222,0.15364877614685865,0.5312358046113858,0.09632499154139708,3.555072104334965,3.7787544798713584e-4,1.2679011658713721,1.1123792790788005,1.4451665871997106,0.33278730812091006,1.2679011658713721,sig,Random-Effects
F52,Mitteorgaanilised seksuaaldüsfunktsioonid,Sexual dysfunction not due to a substance or known physiological condition,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.30851055703550323,-0.7426795164363337,1.3597006305073402,0.536331321270947,0.5752238304942255,0.5651399279539564,1.2384284822009692,0.5976283462064076,2.566319210362369,1.9686908641559613,1.2384284822009692,nosig,Pass-Through
F70,Kerge vaimne alaareng,Mild intellectual disabilities,F70-F79,Vaimne alaareng,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-1.1244382627876228,-1.347326497043173,-0.9015500285320724,0.11372057650735645,-9.887729180786243,4.7058101777436824e-23,0.45868058171993487,0.393019691520033,0.535311284870351,0.14229159335031794,2.180166416137033,sig,Random-Effects
I10,Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi,Essential (primary) hypertension,I10-I15,Kõrgvererõhkhaigused,I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,0.15446404075904926,-0.07023221400496726,0.3791602955230658,0.11464305290117165,1.3473475875786858,0.17786831241721607,1.113008060438209,0.9524846752167223,1.3005846443865974,0.34809996916987507,1.113008060438209,nosig,Random-Effects
I11,Südamekahjustusega hüpertooniatõbi,Hypertensive heart disease,I10-I15,Kõrgvererõhkhaigused,I00-I99,Vereringeelundite haigused,Diseases of the circulatory system,Circulatory system,N,F,MetaAgeCombined,-0.1212846374869997,-0.20188200451347801,-0.040687270460521396,0.041121861249604624,-2.9493956207579446,0.0031839610499915664,0.9193686408035703,0.8694156651582426,0.9721917048034351,0.10277603964519244,1.0877029687742603,sig,Random-Effects
