parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
F01,Vaskulaarne dementsus,Vascular dementia,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-1.588433787290347,-2.103992662168424,-1.0728749124122696,0.263045075799729,-6.038637227711157,1.5542121997841212e-9,0.3325322599566914,0.23261359754138944,0.47537076542668266,0.24275716788529322,3.0072270285302207,sig,Random-Effects
F06,"Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest",Other mental disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.8450192208682049,-1.0211857723584643,-0.6688526693779454,0.08988254523034037,-9.401371742452215,5.385628968121885e-21,0.5567033921665429,0.49271121915013594,0.629006717939782,0.13629549878964609,1.7962886773659912,sig,Random-Effects
F07,"Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist",Personality and behavioral disorders due to known physiological condition,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-1.276262005975396,-1.3848030583710886,-1.1677209535797033,0.055379105561046305,-23.045912227103923,1.6165057491476104e-117,0.41286384599132564,0.38294177090873416,0.4451239542822652,0.06218218337353104,2.422106003491064,sig,Random-Effects
F10,Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired,Alcohol related disorders,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.6441381968612548,-0.8636744882401808,-0.4246019054823289,0.11201037014485996,-5.7507014397703395,8.887394074499733e-9,0.6398749098793995,0.5495510886717144,0.7450442892994741,0.19549320062775966,1.5628054555045376,sig,Random-Effects
F20,Skisofreenia,Schizophrenia,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-1.6355796012402044,-1.9036986016980009,-1.367460600782408,0.13679792209075528,-11.956172844168778,6.027650761930095e-33,0.32184108207926376,0.2672573256030534,0.3875728453101305,0.1203155197070771,3.107123532954434,sig,Random-Effects
F32,Depressiivne episood e. depressioon,"Major depressive disorder, single episode",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.1658133529849301,-0.31454764006319014,-0.017079065906670077,0.07588623477342296,-2.1850254328733887,0.02888698187066697,0.8914258156288994,0.8041030793602779,0.9882314906713727,0.1841284113110948,1.1217983397693072,sig,Random-Effects
F33,Korduv depressiivne häire e korduv depressioon,"Major depressive disorder, recurrent",F30-F39,Meeleoluhäired,F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.4636197525513235,-0.6094836216628967,-0.3177558834397502,0.07442170889982108,-6.229630566202143,4.67536365141106e-10,0.7251645210152808,0.6554312559614095,0.8023169138737006,0.14688565791229113,1.3789974150968256,sig,Random-Effects
F40,Foobsed ärevushäired e. foobiad,Phobic anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.028129315574028705,-0.06631557651633024,0.12257420766438765,0.04818705488229796,0.583752537745616,0.559386814644513,1.01968907845271,0.9550739997162151,1.0886756597129505,0.13360165999673546,1.01968907845271,nosig,Random-Effects
F41,Muud ärevushäired,Other anxiety disorders,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,0.002307215717311186,-0.05534809546562504,0.059962526900247407,0.029416515628712555,0.0784326650522533,0.9374838906006449,1.0016005195357647,0.962362214993258,1.0424386837978066,0.08007646880454855,1.0016005195357647,nosig,Random-Effects
F43,Rasked stressreaktsioonid ja kohanemishäired,"Reaction to severe stress, and adjustment disorders",F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",F00-F99,Psüühika- ja käitumishäired,Mental and behavioural disorders,Mental health disorders,N,F,MetaAgeCombined,-0.0884912410741265,-0.2432386294796955,0.06625614733144251,0.07895419998846749,-1.1207920678957173,0.2623763813293551,0.9405058085330243,0.8448466307012923,1.0469961573381759,0.20214952663688357,1.0632576544740038,nosig,Random-Effects
