"gender","year","count"
M,1945.0,413
M,1923.0,19
N,1968.0,2624
M,1974.0,1439
N,1995.0,1642
M,1982.0,1587
M,1928.0,56
M,1924.0,19
M,1955.0,959
N,1952.0,1818
M,1961.0,1142
M,1971.0,1519
M,1951.0,811
M,1938.0,296
N,1989.0,2924
N,1918.0,12
M,2003.0,37
N,1938.0,718
N,1979.0,2700
N,1975.0,2666
N,1933.0,323
N,2004.0,20
M,2000.0,599
N,1970.0,2897
M,1952.0,792
N,1969.0,2738
N,1953.0,1820
M,2004.0,8
M,1954.0,929
M,1980.0,1563
N,1948.0,1498
M,1922.0,19
N,1985.0,2742
M,1972.0,1450
N,1947.0,1380
N,1978.0,2615
N,1924.0,79
N,1980.0,2712
M,1926.0,41
M,2001.0,185
N,1964.0,2523
N,1950.0,1661
N,1922.0,45
M,1947.0,654
N,1988.0,2869
N,1957.0,2198
M,2002.0,53
M,1944.0,426
N,1973.0,2721
N,1958.0,2202
N,1965.0,2383
N,1954.0,1997
N,2003.0,90
N,1929.0,167
N,2002.0,148
M,1979.0,1521
M,1943.0,427
N,1935.0,494
N,1987.0,2824
M,1997.0,771
N,1963.0,2394
M,1984.0,1670
N,1920.0,19
N,1923.0,48
N,1932.0,285
N,1949.0,1769
M,1957.0,1008
M,1965.0,1189
N,1930.0,222
M,1991.0,1427
N,1951.0,1770
M,1960.0,1142
M,1995.0,898
N,1990.0,2780
M,1946.0,564
N,1942.0,1002
M,1967.0,1192
N,1996.0,1537
N,1966.0,2409
M,1992.0,1327
M,1962.0,1138
M,1925.0,27
M,1989.0,1885
N,1967.0,2540
N,1983.0,2861
M,1939.0,325
M,1969.0,1374
N,1981.0,2697
N,1955.0,2033
N,1939.0,733
N,1998.0,1410
N,1974.0,2753
N,1972.0,2841
N,1921.0,21
M,1934.0,154
M,1978.0,1506
M,1948.0,658
M,1993.0,1076
M,1983.0,1724
M,1985.0,1706
N,1934.0,352
N,1943.0,849
M,1994.0,953
M,1959.0,1086
M,1970.0,1517
N,2001.0,474
M,1937.0,278
M,1942.0,466
N,1999.0,1368
M,1950.0,735
N,1992.0,2216
N,1944.0,969
M,1975.0,1472
N,1940.0,828
N,1982.0,2761
M,1930.0,115
M,1927.0,47
N,1962.0,2500
N,1959.0,2318
M,1987.0,1960
N,1956.0,2164
N,1946.0,1205
M,1996.0,827
M,1956.0,918
M,1964.0,1249
M,1976.0,1571
N,1977.0,2750
M,1921.0,10
N,1937.0,608
N,1997.0,1506
N,1936.0,483
M,1949.0,743
N,1941.0,997
M,1963.0,1193
M,1966.0,1269
M,1940.0,356
N,1994.0,1726
M,1953.0,819
N,1991.0,2404
N,1961.0,2550
N,1960.0,2370
N,1927.0,120
M,1941.0,464
N,1931.0,242
M,1933.0,162
N,1971.0,2828
M,1988.0,2010
N,1925.0,87
N,1919.0,14
N,1926.0,108
M,1932.0,119
N,1928.0,164
M,1973.0,1407
M,1981.0,1612
M,1999.0,668
M,1936.0,258
M,1968.0,1341
N,2000.0,1239
M,1998.0,695
M,1931.0,114
M,1977.0,1492
M,1986.0,1700
N,1993.0,1824
M,1990.0,1731
N,1976.0,2678
M,1929.0,92
M,1935.0,184
N,1986.0,2744
N,1984.0,2828
N,1945.0,975
M,1958.0,1004
