"gender","year","count"
M,1945.0,248
N,1968.0,1947
M,1974.0,1170
N,1995.0,1638
M,1982.0,1256
M,1928.0,11
M,1955.0,693
N,1952.0,1183
M,1961.0,844
M,1971.0,1220
M,1951.0,544
M,1938.0,120
N,1989.0,2303
M,2003.0,35
N,1938.0,331
N,1979.0,2134
N,1975.0,2076
N,1933.0,94
N,2004.0,17
M,2000.0,598
N,1970.0,2184
M,1952.0,524
N,1969.0,2056
N,1953.0,1252
M,2004.0,7
M,1954.0,654
M,1980.0,1234
N,1948.0,1005
N,1985.0,2123
M,1972.0,1139
N,1947.0,883
N,1978.0,2016
N,1924.0,8
N,1980.0,2128
M,2001.0,185
N,1964.0,1838
N,1950.0,1089
M,1947.0,404
N,1988.0,2268
N,1957.0,1545
M,2002.0,53
M,1944.0,248
N,1973.0,2117
N,1958.0,1571
N,1965.0,1792
N,1954.0,1385
N,2003.0,89
N,1929.0,28
N,2002.0,148
M,1979.0,1215
M,1943.0,233
N,1935.0,198
N,1987.0,2250
M,1997.0,771
N,1963.0,1795
M,1984.0,1305
N,1932.0,67
N,1949.0,1165
M,1957.0,699
M,1965.0,928
N,1930.0,40
M,1991.0,1247
N,1951.0,1179
M,1960.0,847
M,1995.0,895
N,1990.0,2331
M,1946.0,321
N,1942.0,597
M,1967.0,940
N,1996.0,1534
N,1966.0,1853
M,1992.0,1234
M,1962.0,851
M,1989.0,1382
N,1967.0,1892
N,1983.0,2235
M,1939.0,150
M,1969.0,1101
N,1955.0,1395
N,1981.0,2133
N,1939.0,364
N,1998.0,1408
N,1974.0,2114
N,1972.0,2179
M,1934.0,65
M,1978.0,1215
M,1948.0,411
M,1993.0,1070
M,1983.0,1321
M,1985.0,1303
N,1934.0,124
N,1943.0,520
M,1994.0,942
M,1959.0,791
M,1970.0,1192
N,2001.0,473
M,1937.0,130
M,1942.0,248
N,1999.0,1368
M,1950.0,478
N,1992.0,2079
N,1944.0,608
M,1975.0,1206
N,1940.0,458
N,1982.0,2166
M,1930.0,20
M,1927.0,6
N,1962.0,1859
N,1959.0,1665
M,1987.0,1372
N,1956.0,1533
N,1946.0,772
M,1996.0,825
M,1956.0,641
M,1964.0,964
M,1976.0,1250
N,1977.0,2177
N,1937.0,265
N,1997.0,1505
N,1936.0,192
M,1949.0,481
N,1941.0,552
M,1963.0,906
M,1966.0,996
M,1940.0,203
N,1994.0,1715
M,1953.0,580
N,1991.0,2159
N,1961.0,1879
N,1960.0,1716
N,1927.0,18
M,1941.0,242
N,1931.0,50
M,1933.0,42
N,1971.0,2193
M,1988.0,1423
N,1925.0,10
N,1926.0,14
M,1932.0,32
N,1928.0,29
M,1973.0,1118
M,1981.0,1272
M,1999.0,668
M,1936.0,82
M,1968.0,1038
N,2000.0,1239
M,1998.0,693
M,1931.0,30
M,1977.0,1162
M,1986.0,1281
N,1993.0,1811
M,1990.0,1400
N,1976.0,2093
M,1929.0,14
M,1935.0,59
N,1986.0,2139
N,1984.0,2147
N,1945.0,629
M,1958.0,761
