parent2_code,parent2_name_EN
A00,Cholera
A01,Typhoid and paratyphoid fevers
A02,Other salmonella infections
A03,Shigellosis
A04,Other bacterial intestinal infections
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A06,Amoebiasis
A07,Other protozoal intestinal diseases
A08,Viral and other specified intestinal infections
A09,"Infectious gastroenteritis and colitis, unspecified"
A15,"Tuberculosis of lung, confirmed bacteriologically and histologically"
A16,"Tuberculosis of lung, not confirmed bacteriologically or histologically"
A17,Tuberculosis of nervous system
A18,Tuberculosis of other organs
A19,Miliary tuberculosis
A21,Tularemia
A25,Rat-bite fevers
A26,Erysipeloid
A27,Leptospirosis
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A30,Leprosy [Hansen's disease]
A31,Infection due to other mycobacteria
A32,Listeriosis
A37,Whooping cough [pertussis]
A38,Scarlet fever
A39,Meningococcal infection
A40,Streptococcal septicaemia
A41,Other sepsis
A42,Actinomycosis
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A49,Bacterial infection of unspecified site
A50,Congenital syphilis
A51,Early syphilis
A52,Late syphilis
A53,Other and unspecified syphilis
A54,Gonococcal infection
A56,Other sexually transmitted chlamydial diseases
A59,Trichomoniasis
A60,Anogenital herpesviral [herpes simplex] infections
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A64,Unspecified sexually transmitted disease
A66,Yaws
A67,Yaws
A68,Relapsing fevers
A69,Other spirochetal infections
A70,Chlamydia psittaci infection
A74,Other diseases caused by chlamydiae
A77,Spotted fever
A79,Other rickettsioses
A81,Atypical virus infections of central nervous system
A83,Mosquito-borne viral encephalitis
A84,Tick-borne viral encephalitis
A85,"Other viral encephalitis, not elsewhere classified"
A86,Unspecified viral encephalitis
A87,Viral meningitis
A88,"Other viral infections of central nervous system, not elsewhere classified"
A89,Unspecified viral infection of central nervous system
A90,Dengue fever [classical dengue]
A92,Other mosquito-borne viral fevers
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A94,Unspecified arthropod-borne viral encephalitis
A96,Arenaviral haemorrhagic fever
A98,"Other viral haemorrhagic fevers, not elsewhere classified"
A99,Unspecified viral haemorrhagic fever
B00,Herpesviral [herpes simplex] infections
B01,Varicella [chickenpox]
B02,Zoster [herpes zoster]
B03,Smallpox
B04,Smallpox
B05,Measles
B06,Rubella [German measles]
B07,Viral warts
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B15,Acute hepatitis A
B16,Acute hepatitis B
B17,Other acute viral hepatitis
B18,Chronic viral hepatitis
B19,Unspecified viral hepatitis
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
B24,Unspecified human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral disease
B26,Mumps
B27,Infectious mononucleosis
B30,Viral conjunctivitis
B33,"Other viral diseases, not elsewhere classified"
B34,Viral infection of unspecified site
B35,Dermatophytosis
B36,Other superficial mycoses
B37,Candidiasis
B38,Coccidioidomycosis
B39,Histoplasmosis
B40,Blastomycosis
B43,Chromomycosis and phaeohyphomycosis
B44,Aspergillosis
B45,Cryptococcosis
B46,Zygomycosis
B47,Mycetoma
B48,"Other mycoses, not elsewhere classified"
B49,Unspecified mycosis
B50,Plasmodium falciparum malaria
B51,Plasmodium vivax malaria
B52,Plasmodium malariae malaria
B53,Other confirmed malaria and parastic diseases
B54,Unspecified malaria
B55,Leishmaniasis
B57,Chagas' disease
B58,Toxoplasmosis
