"gender","year","count"
N,1931,1829
M,1950,2152
N,1985,3309
N,1916,78
M,1965,2723
N,1966,2687
M,1954,2482
N,2001,1912
N,1909,10
N,1988,3474
N,1922,525
N,1950,2807
M,1915,15
N,1925,993
N,1969,2967
M,1989,3830
M,1916,14
N,1996,2267
N,1989,3492
M,1942,1492
M,1955,2567
N,1957,3046
M,1938,1329
N,1983,3318
N,1947,2728
N,1972,2979
M,1976,3194
M,1961,2895
M,1934,859
M,1996,2260
N,1924,866
N,1918,169
N,2002,2092
N,1913,38
M,1967,2662
M,1948,2104
M,1918,42
M,1930,677
N,1948,2848
M,1999,2073
M,1979,3218
M,1945,1337
M,1978,3151
N,1973,2928
M,2005,2393
N,1912,25
N,1998,1967
M,1966,2689
N,1963,2928
N,1923,716
M,1975,3199
M,1974,3012
M,1925,297
N,1965,2802
N,1974,2979
N,1914,46
M,1983,3594
N,1920,261
N,1949,3090
N,1953,2914
M,1935,1042
N,1970,3155
N,1942,2278
N,1938,2503
N,2000,2062
M,1986,3681
M,1968,2885
M,1998,2109
N,1929,1630
M,1952,2381
M,1995,2389
N,1986,3410
M,1953,2404
M,1973,3092
M,1956,2569
N,1930,1692
M,1944,1360
M,1987,3910
N,1919,209
N,1978,2967
M,1990,3546
M,1922,128
M,1988,3923
N,1994,2423
M,1971,3222
N,1964,2927
N,1967,2769
N,1959,3193
N,1954,3072
M,1941,1748
M,1963,2794
M,1917,11
M,2001,2042
N,1976,3004
M,1947,1998
N,1979,3002
M,1980,3346
N,1941,2802
N,1940,2361
M,1932,815
N,1982,3104
M,1919,47
N,1911,18
N,1944,2050
N,1961,3210
M,1920,55
M,1931,754
N,1952,2928
N,1943,1898
M,1970,3006
M,1997,2203
M,1957,2610
N,1927,1251
N,1921,453
N,1951,3032
M,1943,1307
M,2000,2244
N,1917,103
M,1914,10
N,1992,2864
M,1933,844
M,1924,207
M,1949,2274
N,1962,3035
N,1934,1871
M,1969,2926
N,1993,2489
M,1982,3349
N,1936,2284
M,1928,544
N,1932,1971
N,1946,2535
N,1968,2939
M,1964,2750
M,1940,1506
N,1999,1961
N,1975,2931
N,1991,2950
M,1985,3612
N,1910,8
N,1935,2048
M,2004,2299
N,2003,2100
M,1981,3298
N,1933,1801
M,1958,2754
N,1977,3002
N,1995,2269
M,1923,164
M,1926,387
M,1991,3268
N,1958,3020
N,1987,3535
M,1939,1403
N,1945,2039
M,2002,2102
N,1990,3412
N,1971,3101
M,1960,2834
M,1992,3030
N,1956,3058
M,1972,3151
N,1980,3051
M,1946,1718
N,1997,2114
M,1959,2783
N,1915,71
M,1951,2265
M,1937,1300
N,1955,3139
M,1994,2519
N,1937,2539
M,1929,608
N,1928,1481
M,1977,3211
N,2004,2157
N,1960,3204
N,2005,2230
N,1939,2621
M,1921,87
M,1993,2792
N,1981,3046
M,1962,2864
M,1927,486
N,1984,3408
M,1936,1168
N,1926,1149
M,2003,2093
M,1984,3585
